"FOXA","Twenty-First Century Fox, Inc.","26.32","NASDAQ100"
"FOX","Twenty-First Century Fox, Inc.","26.67","NASDAQ100"
"ATVI","Activision Blizzard, Inc","29.21","NASDAQ100"
"ADBE","Adobe Systems Incorporated","78.46","NASDAQ100"
"AKAM","Akamai Technologies, Inc.","74.58","NASDAQ100"
"ALXN","Alexion Pharmaceuticals, Inc.","168.8","NASDAQ100"
"ALTR","Altera Corporation","50.44","NASDAQ100"
"AMZN","Amazon.com, Inc.","521.38","NASDAQ100"
"AAL","American Airlines Group, Inc.","42.29","NASDAQ100"
"AMGN","Amgen Inc.","151","NASDAQ100"
"ADI","Analog Devices, Inc.","57.56","NASDAQ100"
"AAPL","Apple Inc.","115.31","DOW","NASDAQ100"
"AMAT","Applied Materials, Inc.","15.6","NASDAQ100"
"ADSK","Autodesk, Inc.","46.15","NASDAQ100"
"ADP","Automatic Data Processing, Inc.","77.76","NASDAQ100"
"AVGO","Avago Technologies Limited","131.19","NASDAQ100"
"BIDU","Baidu, Inc.","141.27","NASDAQ100"
"BBBY","Bed Bath & Beyond Inc.","61.14","NASDAQ100"
"BIIB","Biogen Inc.","316.23","NASDAQ100"
"BMRN","BioMarin Pharmaceutical Inc.","131.49","NASDAQ100"
"BRCM","Broadcom Corporation","53.24","NASDAQ100"
"CHRW","C.H. Robinson Worldwide, Inc.","68.6","NASDAQ100"
"CA","CA Inc.","27.74","NASDAQ100"
"CELG","Celgene Corporation","122.21","NASDAQ100"
"CERN","Cerner Corporation","61.75","NASDAQ100"
"CHTR","Charter Communications, Inc.","184.57","NASDAQ100"
"CHKP","Check Point Software Technologies Ltd.","78.66","NASDAQ100"
"CSCO","Cisco Systems, Inc.","25.7","DOW","NASDAQ100"
"CTXS","Citrix Systems, Inc.","70.7","NASDAQ100"
"CTSH","Cognizant Technology Solutions Corporation","62.08","NASDAQ100"
"CMCSK","Comcast Corporation","57.02","NASDAQ100"
"CMCSA","Comcast Corporation","56.25","NASDAQ100"
"COST","Costco Wholesale Corporation","141.15","NASDAQ100"
"DISCA","Discovery Communications, Inc.","26.57","NASDAQ100"
"DISCK","Discovery Communications, Inc.","24.82","NASDAQ100"
"DISH","DISH Network Corporation","57.83","NASDAQ100"
"DLTR","Dollar Tree, Inc.","65.34","NASDAQ100"
"EBAY","eBay Inc.","25.75","NASDAQ100"
"EA","Electronic Arts Inc.","68.35","NASDAQ100"
"EXPD","Expeditors International of Washington, Inc.","48.74","NASDAQ100"
"ESRX","Express Scripts Holding Company","84.14","NASDAQ100"
"FB","Facebook, Inc.","92.31","NASDAQ100"
"FAST","Fastenal Company","38.21","NASDAQ100"
"FISV","Fiserv, Inc.","85.21","NASDAQ100"
"GRMN","Garmin Ltd.","35.81","NASDAQ100"
"GILD","Gilead Sciences, Inc.","109.35","NASDAQ100"
"GOOGL","Google Inc.","652.47","NASDAQ100"
"GOOG","Google Inc.","623.24","NASDAQ100"
"HSIC","Henry Schein, Inc.","135.49","NASDAQ100"
"ILMN","Illumina, Inc.","206.02","NASDAQ100"
"INTC","Intel Corporation","29.39","DOW","NASDAQ100"
"INTU","Intuit Inc.","88.82","NASDAQ100"
"ISRG","Intuitive Surgical, Inc.","510.58","NASDAQ100"
"JD","JD.com, Inc.","24.21","NASDAQ100"
"KLAC","KLA-Tencor Corporation","52.18","NASDAQ100"
"GMCR","Keurig Green Mountain, Inc.","59.35","NASDAQ100"
"KHC","The Kraft Heinz Company","74.55","NASDAQ100"
"LRCX","Lam Research Corporation","72.5","NASDAQ100"
"LBTYA","Liberty Global plc","46.84","NASDAQ100"
"LBTYK","Liberty Global plc","43.6","NASDAQ100"
"QVCA","Liberty Interactive Corporation","27.52","NASDAQ100"
"LILA","Liberty Global plc","36.6","NASDAQ100"
"LMCK","Liberty Media Corporation","36.15","NASDAQ100"
"LMCA","Liberty Media Corporation","37.45","NASDAQ100"
"LVNTA","Liberty Interactive Corporation","40.49","NASDAQ100"
"LLTC","Linear Technology Corporation","40.59","NASDAQ100"
"MAR","Marriott International","72.99","NASDAQ100"
"MAT","Mattel, Inc.","22.72","NASDAQ100"
